"StateFIPS","State","ZCTA","ZIP Code Tabulation Areas","Year","Value","Data Comment",
"36","New York","3610701","New York - 3610701 - ZCTA","2024","0.9195","",
"36","New York","3610703","New York - 3610703 - ZCTA","2024","0.7286","",
"36","New York","3610704","New York - 3610704 - ZCTA","2024","0.4748","",
"36","New York","3610705","New York - 3610705 - ZCTA","2024","0.7543","",
"36","New York","3610706","New York - 3610706 - ZCTA","2024","0.2936","",
"36","New York","3610707","New York - 3610707 - ZCTA","2024","0.3102","",
"36","New York","3610708","New York - 3610708 - ZCTA","2024","0.3419","",
"36","New York","3610709","New York - 3610709 - ZCTA","2024","0.1526","",
"36","New York","3610710","New York - 3610710 - ZCTA","2024","0.3909","",
"36","New York","3610801","New York - 3610801 - ZCTA","2024","0.8481","",
"36","New York","3610803","New York - 3610803 - ZCTA","2024","0.2904","",
"36","New York","3610804","New York - 3610804 - ZCTA","2024","0.1396","",
"36","New York","3610805","New York - 3610805 - ZCTA","2024","0.5612","",
"36","New York","3610901","New York - 3610901 - ZCTA","2024","0.2277","",
"36","New York","3610913","New York - 3610913 - ZCTA","2024","0.0899","",
"36","New York","3610914","New York - 3610914 - ZCTA","2024","0.1274","",
"36","New York","3610915","New York - 3610915 - ZCTA","2024","0.1249","",
"36","New York","3610916","New York - 3610916 - ZCTA","2024","0.1434","",
"36","New York","3610917","New York - 3610917 - ZCTA","2024","0.0208","",
"36","New York","3610918","New York - 3610918 - ZCTA","2024","0.2897","",
"36","New York","3610919","New York - 3610919 - ZCTA","2024","0.2178","",
"36","New York","3610920","New York - 3610920 - ZCTA","2024","0.2308","",
"36","New York","3610921","New York - 3610921 - ZCTA","2024","0.2398","",
"36","New York","3610922","New York - 3610922 - ZCTA","2024","0.0842","",
"36","New York","3610923","New York - 3610923 - ZCTA","2024","0.4187","",
"36","New York","3610924","New York - 3610924 - ZCTA","2024","0.5271","",
"36","New York","3610925","New York - 3610925 - ZCTA","2024","0.1438","",
