date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min
2024-04-03 04:00:00+00:00,41.95925,44.100502,39.5105,32.111347,35.2667,26.274212
2024-04-04 04:00:00+00:00,41.80925,48.1505,37.0805,33.221806,40.27249,26.827984
2024-04-05 04:00:00+00:00,41.363,48.780502,34.5605,32.156147,37.06764,27.275894
2024-04-06 04:00:00+00:00,43.9655,52.2905,37.1705,34.7301,40.77074,29.021616
2024-04-07 04:00:00+00:00,44.44925,57.3305,34.3805,36.53323,47.244804,27.372778
2024-04-08 04:00:00+00:00,47.614254,64.0805,33.1205,42.77564,60.424164,26.678669
2024-04-09 04:00:00+00:00,57.0155,74.7905,40.4105,53.56154,74.0405,35.796577
2024-04-10 04:00:00+00:00,53.513,60.3005,46.4405,50.15668,57.999916,42.34536
2024-04-11 04:00:00+00:00,54.004253,62.4605,48.3305,50.01477,59.419228,44.769814
2024-04-12 04:00:00+00:00,59.599247,66.8705,54.2705,52.72501,63.760178,45.872158
2024-04-13 04:00:00+00:00,48.94925,53.3705,45.4505,38.91015,45.392025,35.074833
2024-04-14 04:00:00+00:00,57.158,71.5505,42.3005,49.803223,64.75919,34.729866
2024-04-15 04:00:00+00:00,64.3205,76.140495,50.3105,60.71854,73.6416,47.481125
2024-04-16 04:00:00+00:00,57.338,68.5805,44.100502,51.96037,63.05967,38.454285
2024-04-17 04:00:00+00:00,50.8055,59.760498,45.0005,45.41969,54.221886,38.699577
2024-04-18 04:00:00+00:00,47.021755,48.4205,41.6705,40.364124,43.35009,37.570805
2024-04-19 04:00:00+00:00,47.006744,55.350502,38.8805,41.892376,50.718964,33.77462
2024-04-20 04:00:00+00:00,54.79925,67.8605,46.6205,49.524536,62.731262,36.629574
2024-04-21 04:00:00+00:00,45.349247,53.280502,35.3705,37.37038,43.350674,29.022541
2024-04-22 04:00:00+00:00,47.228,58.5905,35.3705,40.82999,53.372673,28.752022
2024-04-23 04:00:00+00:00,48.270496,58.2305,35.4605,41.351887,53.111755,29.076378
